Ticker,Company,Sector,# Employees
ETR,Entergy Corporation,Utilities,"              13,400"
EIX,Edison International,Utilities,"              13,351"
TDG,Transdigm Group Inc.,Electronic Technology,"              13,300"
NOW,"ServiceNow, Inc.",Technology Services,"              13,096"
MKC,"McCormick & Company, Incorporated",Consumer Non-Durables,"              13,000"
STE,STERIS plc (Ireland),Health Technology,"              13,000"
CNP,"CenterPoint Energy, Inc (Holding Co)",Utilities,"              12,984"
PEG,Public Service Enterprise Group Incorporated,Utilities,"              12,788"
EBAY,eBay Inc.,Retail Trade,"              12,700"
MOS,Mosaic Company (The),Process Industries,"              12,617"
AMD,"Advanced Micro Devices, Inc.",Electronic Technology,"              12,600"
PPL,PPL Corporation,Utilities,"              12,318"
AMP,"Ameriprise Financial, Inc.",Finance,"              12,300"
SNA,Snap-On Incorporated,Consumer Durables,"              12,300"
L,Loews Corporation,Finance,"              12,200"
FE,FirstEnergy Corp.,Utilities,"              12,153"
AFL,AFLAC Incorporated,Finance,"              12,003"
COO,"The Cooper Companies, Inc.",Health Technology,"              12,000"
OXY,Occidental Petroleum Corporation,Energy Minerals,"              11,800"
DHI,"D.R. Horton, Inc.",Consumer Durables,"              11,788"
ALLE,Allegion plc,Producer Manufacturing,"              11,500"
ADSK,"Autodesk, Inc.",Technology Services,"              11,500"
MCO,Moody’s Corporation,Commercial Services,"              11,490"
TRMB,Trimble Inc.,Electronic Technology,"              11,402"
EFX,"Equifax, Inc.",Commercial Services,"              11,400"
XEL,Xcel Energy Inc.,Utilities,"              11,367"
KLAC,KLA Corporation,Electronic Technology,"              11,300"
ZTS,Zoetis Inc.,Health Technology,"              11,300"
EA,Electronic Arts Inc.,Consumer Durables,"              11,000"
NTAP,"NetApp, Inc.",Electronic Technology,"              11,000"
SWKS,"Skyworks Solutions, Inc.",Electronic Technology,"              11,000"
LNC,Lincoln National Corporation,Finance,"              10,966"
FDS,FactSet Research Systems Inc.,Technology Services,"              10,892"
BRO,"Brown & Brown, Inc.",Finance,"              10,843"
TDY,Teledyne Technologies Incorporated,Electronic Technology,"              10,670"
DTE,DTE Energy Company,Utilities,"              10,600"
KMI,"Kinder Morgan, Inc.",Industrial Services,"              10,524"
BEN,"Franklin Resources, Inc.",Finance,"              10,300"
EQIX,"Equinix, Inc.",Finance,"              10,013"
CDW,CDW Corporation,Technology Services,"              10,000"
